"","ID","EventID","TimeBefore","IslandBefore","IslandAfter","EventDate","EventTimeDiff","EventMonth","EventX1","EventY1","EventX2","EventY2","AreaBefore","AreaAfter","IslandDistance","Date","SinceJudas","IceCover","IceThickness","MinDistIslands","MeanDist_k5","MeanDist_k10","MeanDist_all","N0_EventX1","N0_EventY1","AreaBefore_km2","AreaAfter_km2","IslandDistance_km","Judas","Ice","Sex","SteppingStones","IslandDensity","Islands_within","WaterTravelDist","LeastCostLength","SinceJudas_inv","WaterTravelKM","LeastCostKM","DistDifference","PerDifference","SteppingStoneDensity"
"31","R2","R2_1",26,"12226","12264","2022-08-28 19:00:00",18,"8",181654.65099048,6701272.19077745,181308.55484546,6701574.04295273,1346390.60932601,312877.633983478,602.974442073148,"2022-08-28",2,0,0,0.00960493829882147,0.182173151082067,0.277871956463541,49.6734311834699,181802.985513961,6699607.06130639,1.34639060932601,0.312877633983478,0.602974442073148,"After","Water","Male",6,0.245466974301693,92,401.618333599772,2487.95904649724,0.5,0.401618333599772,2.48795904649724,-0.201356108473376,-0.333938048486886,2.41161525887949
"32","R2","R2_10",48,"12264","12226","2022-09-14 23:00:00",4,"9",181517.964228684,6701744.9391409,181414.121765541,6699785.80367238,312877.633983478,1346390.60932601,602.974442073148,"2022-09-14",19,0,0,0.198648389250295,0.324350548548626,0.408270765109571,49.8757177275234,181517.964228684,6701744.9391409,0.312877633983478,1.34639060932601,0.602974442073148,"After","Water","Male",6,0.282669329878356,95,404.378227985121,2266.39045301103,0.0526315789473684,0.404378227985121,2.26639045301103,-0.198596214088027,-0.329360915207638,2.64738143069243
"33","R2","R2_11",186,"12226","11090","2022-09-22 17:00:00",16,"9",180296.298591157,6700878.96292099,179561.708815043,6701106.7746577,1346390.60932601,261205.382763929,968.592693013853,"2022-09-22",27,0,0,0.0845188482611278,0.31638200384853,0.469089613221456,49.9758808301892,180723.520305024,6700438.11658675,1.34639060932601,0.261205382763929,0.968592693013853,"After","Water","Male",3,0.298769141421325,67,729.040379668857,1542.88690447486,0.037037037037037,0.729040379668857,1.54288690447486,-0.239552313344996,-0.247319967487686,1.94440693695633
"34","R2","R2_13",20,"11090","11096","2022-09-24 19:00:00",2,"9",179650.670905665,6701281.05505458,179749.107915263,6701853.14416599,261205.382763929,441578.622925036,54.2774849986203,"2022-09-24",29,0,0,0.0203243425261704,0.272282757792029,0.465183518738042,50.3232587426764,179874.442297031,6701699.56922745,0.261205382763929,0.441578622925036,0.0542774849986203,"After","Water","Male",0,0.321452163231882,27,92.3436246282304,275.39922511184,0.0344827586206897,0.0923436246282304,0.27539922511184,0.0380661396296101,0.70132467690015,0
"35","R2","R2_14",4,"11096","12226","2022-09-24 23:00:00",4,"9",179749.107915263,6701853.14416599,181626.880249443,6700188.92106987,441578.622925036,1346390.60932601,1279.97401991329,"2022-09-24",29,0,0,0.137385877139144,0.362077597616066,0.497651995624524,50.4802092598547,179749.107915263,6701853.14416599,0.441578622925036,1.34639060932601,1.27997401991329,"After","Water","Male",4,0.281801592101377,120,781.502729601182,2958.6807981116,0.0344827586206897,0.781502729601182,2.9586807981116,-0.498471290312108,-0.3894385999693,1.35195388517512
"36","R2","R2_15",140,"12226","12264","2022-09-30 19:00:00",2,"9",181702.220148977,6700471.67529155,181390.657247223,6701589.21733994,1346390.60932601,312877.633983478,602.974442073148,"2022-09-30",35,0,0,0.0243961319118903,0.117365199324395,0.161566283162606,49.3979243165637,181631.114816231,6700290.97450759,1.34639060932601,0.312877633983478,0.602974442073148,"After","Water","Male",6,0.272027191558442,85,415.022123225392,1682.97457459731,0.0285714285714286,0.415022123225392,1.68297457459731,-0.187952318847756,-0.311708599458275,3.56511624748439
"37","R2","R2_16",52,"12264","12226","2022-10-02 23:00:00",4,"10",181634.407621731,6701629.71430921,181237.829550667,6699877.96425141,312877.633983478,1346390.60932601,602.974442073148,"2022-10-02",37,0,0,0.196331634895507,0.354468151204489,0.428263365564184,49.8012341469299,181634.407621731,6701629.71430921,0.312877633983478,1.34639060932601,0.602974442073148,"After","Water","Male",5,0.273656228253305,91,404.884336922184,2138.40671424854,0.027027027027027,0.404884336922184,2.13840671424854,-0.198090105150964,-0.328521561328354,2.33818944108444
"38","R2","R2_17",404,"12226","11638","2022-10-19 19:00:00",2,"10",180990.411155384,6700639.08425519,180808.787481662,6700743.27073413,1346390.60932601,39046.1599409841,80.9244368776138,"2022-10-19",54,0,0,0.130665074814507,0.309655247827219,0.390698805276459,49.6747810557715,180990.411155384,6700639.08425519,1.34639060932601,0.0390461599409841,0.0809244368776138,"After","Water","Male",0,0.314519819564602,54,122.475763280216,427.814711461192,0.0185185185185185,0.122475763280216,0.427814711461192,0.0415513264026022,0.513458332313667,0
"39","R2","R2_18",4,"11638","11622","2022-10-19 23:00:00",4,"10",180808.787481662,6700743.27073413,180850.023029462,6699710.77793052,39046.1599409841,5322.55967651954,862.257058809861,"2022-10-19",54,0,0,0.147141285097886,0.27278435384601,0.383025572148798,49.7662792391789,180808.787481662,6700743.27073413,0.0390461599409841,0.00532255967651954,0.862257058809861,"After","Water","Male",1,0.382530900148838,51,136.816505594558,1165.71714403612,0.0185185185185185,0.136816505594558,1.16571714403612,-0.725440553215303,-0.841327473986237,0.857841033835747
"40","R2","R2_19",2,"11622","12226","2022-10-20 01:00:00",2,"10",180850.023029462,6699710.77793052,181117.856162711,6699147.67686675,5322.55967651954,1346390.60932601,35.5126388999077,"2022-10-20",55,0,0,0.0010129362796248,0.140888374921416,0.230441042350966,49.4304318366351,180850.023029462,6699710.77793052,0.00532255967651954,1.34639060932601,0.0355126388999077,"After","Water","Male",0,0.371705695957957,48,43.5791107102633,677.891461061802,0.0181818181818182,0.0435791107102633,0.677891461061802,0.0080664718103556,0.227143689126875,0
"41","R2","R2_2",28,"12264","12226","2022-08-29 23:00:00",4,"8",181850.457768911,6701341.87508884,181435.112126245,6699006.7602901,312877.633983478,1346390.60932601,602.974442073148,"2022-08-29",3,0,0,0.16690075107446,0.216210057637662,0.310180032932228,49.6391851848265,181850.457768911,6701341.87508884,0.312877633983478,1.34639060932601,0.602974442073148,"After","Water","Male",6,0.215803286361433,95,404.316099020267,2648.59307699786,0.333333333333333,0.404316099020267,2.64859307699786,-0.198658343052881,-0.329463952684053,2.26535365213629
"42","R2","R2_20",280,"12226","12255","2022-10-31 17:00:00",16,"10",181778.208908491,6700945.45409704,181813.716649497,6701044.54014447,1346390.60932601,3456.75876450981,495.338091774238,"2022-10-31",66,0,0,0.00678881853104541,0.0524636173597088,0.0890615824125722,49.5280011381919,181612.98381551,6700239.39399574,1.34639060932601,0.00345675876450981,0.495338091774238,"After","Water","Male",3,0.28458920758386,63,309.473326354421,939.148550549911,0.0151515151515152,0.309473326354421,0.939148550549911,-0.185864765419817,-0.37522808866581,3.1943828249997
"43","R2","R2_21",2,"12255","12249","2022-10-31 19:00:00",2,"10",181813.716649497,6701044.54014447,181747.736090716,6700844.91902757,3456.75876450981,7800.17139448726,12.6938265279458,"2022-10-31",66,0,0,0.0303843871547984,0.100047827846621,0.136528794448584,49.5512388757632,181813.716649497,6701044.54014447,0.00345675876450981,0.00780017139448726,0.0126938265279458,"After","Water","Male",0,0.239549856922738,51,15.5351904852468,234.787137637478,0.0151515151515152,0.0155351904852468,0.234787137637478,0.002841363957301,0.22383825326789,0
"44","R2","R2_22",4,"12249","12226","2022-10-31 23:00:00",4,"10",181747.736090716,6700844.91902757,181507.074372226,6700242.42038135,7800.17139448726,1346390.60932601,361.037216680727,"2022-10-31",66,0,0,0.055833807959164,0.0737788918748062,0.104950674385122,49.5056739316672,181747.736090716,6700844.91902757,0.00780017139448726,1.34639060932601,0.361037216680727,"After","Water","Male",2,0.310452438186813,66,282.729220111797,770.295975898026,0.0151515151515152,0.282729220111797,0.770295975898026,-0.07830799656893,-0.21689729742787,2.59640458028923
"45","R2","R2_23",362,"12226","12227","2022-11-16 01:00:00",2,"11",181581.553813075,6699228.53698381,181984.779290345,6699868.95788938,1346390.60932601,44918.1577105294,18.2228146249616,"2022-11-16",82,0,0,0.367000808206019,0.39355010460402,0.521093708084484,49.0543395106222,181581.553813075,6699228.53698381,1.34639060932601,0.0449181577105294,0.0182228146249616,"After","Water","Male",0,0.251110376110376,45,21.743993915051,935.039278474278,0.0121951219512195,0.021743993915051,0.935039278474278,0.0035211792900894,0.193229166984231,0
"46","R2","R2_24",16,"12227","11619","2022-11-16 17:00:00",16,"11",181984.779290345,6699868.95788938,180361.717109495,6699581.69570764,44918.1577105294,566719.981516995,1240.36882015343,"2022-11-16",82,0,0,0.066612702615149,0.288805759206393,0.366462217188988,49.1243213677858,181984.779290345,6699868.95788938,0.0449181577105294,0.566719981516995,1.24036882015343,"After","Water","Male",1,0.262029729117936,62,135.668090938398,1930.08952846169,0.0121951219512195,0.135668090938398,1.93008952846169,-1.10470072921503,-0.890622781922544,0.518110681009194
"47","R2","R2_25",2,"11619","12226","2022-11-16 19:00:00",2,"11",180361.717109495,6699581.69570764,180698.730854051,6700406.93905935,566719.981516995,1346390.60932601,100.282548531417,"2022-11-16",82,0,0,0.231837407741735,0.274698384662126,0.37054243131312,49.5542364825059,180361.717109495,6699581.69570764,0.566719981516995,1.34639060932601,0.100282548531417,"After","Water","Male",3,0.329942582100017,44,229.344574041966,1443.15457341173,0.0121951219512195,0.229344574041966,1.44315457341173,0.129062025510549,1.28698390099366,2.07877940123057
"48","R2","R2_26",144,"12226","12227","2022-11-22 19:00:00",2,"11",181786.646621153,6699566.40481083,182011.869459666,6699880.24041928,1346390.60932601,44918.1577105294,18.2228146249616,"2022-11-22",88,0,0,0.13429882400262,0.405031026871013,0.518658039912798,49.0920643334059,181786.646621153,6699566.40481083,1.34639060932601,0.0449181577105294,0.0182228146249616,"After","Water","Male",0,0.28134054893586,40,29.4619327901459,552.836654487449,0.0113636363636364,0.0294619327901459,0.552836654487449,0.0112391181651843,0.616760824081971,0
